2026-02-12 10:12:54.212 [Thread-1] INFO  c.n.b.controller.SystemController - Closing application context...
2026-02-12 10:12:54.219 [Thread-1] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Shutdown initiated...
2026-02-12 10:12:54.223 [Thread-1] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Shutdown completed.
2026-02-12 10:22:30.500 [main] INFO  c.nilsson.backend.BackendApplication - Starting BackendApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 29044 (C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\target\backend-0.0.1-SNAPSHOT.jar started by error in C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend)
2026-02-12 10:22:30.501 [main] DEBUG c.nilsson.backend.BackendApplication - Running with Spring Boot v3.3.0, Spring v6.1.8
2026-02-12 10:22:30.502 [main] INFO  c.nilsson.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-12 10:22:31.336 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-12 10:22:31.343 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-02-12 10:22:31.343 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2026-02-12 10:22:31.361 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-12 10:22:31.361 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 818 ms
2026-02-12 10:22:31.395 [main] INFO  c.n.backend.service.DatabaseService - Initializing DatabaseService with URL: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db
2026-02-12 10:22:31.404 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Starting...
2026-02-12 10:22:31.523 [main] INFO  com.zaxxer.hikari.pool.HikariPool - ImageToolboxPool - Added connection org.sqlite.jdbc4.JDBC4Connection@1e95b653
2026-02-12 10:22:31.524 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Start completed.
2026-02-12 10:22:31.524 [main] INFO  c.n.backend.service.DatabaseService - Starting Flyway migration...
2026-02-12 10:22:31.596 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-12 10:22:31.616 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.009s)
2026-02-12 10:22:31.622 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-12 10:22:31.623 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-12 10:22:31.626 [main] INFO  c.n.backend.service.DatabaseService - Flyway migration completed successfully.
2026-02-12 10:22:31.706 [main] INFO  c.n.backend.service.PathService - PathService initialized in open (local file browser) mode.
2026-02-12 10:22:31.760 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-02-12 10:22:31.976 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-12 10:22:31.979 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.001s)
2026-02-12 10:22:31.980 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-12 10:22:31.980 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-12 10:22:32.090 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-02-12 10:22:32.105 [main] INFO  c.nilsson.backend.BackendApplication - Started BackendApplication in 2.007 seconds (process running for 2.429)
2026-02-12 10:22:32.729 [tomcat-handler-0] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-02-12 10:22:32.729 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-02-12 10:22:32.729 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-02-12 10:22:33.068 [tomcat-handler-12] INFO  c.n.backend.service.IndexingService - Indexing folder: 2025-02-23
2026-02-12 10:22:33.069 [virtual-74] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 20 files using Virtual Threads...
2026-02-12 10:22:33.069 [virtual-77] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 10 files using Virtual Threads...
2026-02-12 10:22:33.076 [virtual-77] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-12 10:22:33.076 [virtual-74] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-12 10:23:27.120 [tomcat-handler-21] INFO  c.n.backend.service.IndexingService - Indexing folder: Test images
2026-02-12 10:23:27.121 [virtual-136] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 20 files using Virtual Threads...
2026-02-12 10:23:27.121 [virtual-138] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 6 files using Virtual Threads...
2026-02-12 10:23:27.125 [virtual-138] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-12 10:23:27.125 [virtual-136] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-12 10:23:27.138 [virtual-137] INFO  c.n.backend.service.UserDataManager - Detected file move: D:/AI/Outputs/2025-02-23/00028-2855857706.jpeg -> C:/Downloads/Test images/00028-2855857706.jpeg
2026-02-12 10:23:27.150 [virtual-137] INFO  c.n.backend.service.UserDataManager - Detected file move: D:/AI/Art by me/00047-281793503.jpeg -> C:/Downloads/Test images/00047-281793503.jpeg
2026-02-12 10:23:27.171 [virtual-137] INFO  c.n.backend.service.UserDataManager - Detected file move: D:/AI/Art by me/115626293.png -> C:/Downloads/Test images/115626293.png
2026-02-12 10:24:38.253 [tomcat-handler-35] INFO  c.n.b.controller.SystemController - Shutdown request received via API.
2026-02-12 10:24:38.768 [Thread-1] INFO  c.n.b.controller.SystemController - Closing application context...
2026-02-12 10:24:38.775 [Thread-1] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Shutdown initiated...
2026-02-12 10:24:38.780 [Thread-1] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Shutdown completed.
2026-02-12 10:30:32.128 [main] INFO  c.nilsson.backend.BackendApplication - Starting BackendApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 30652 (C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\target\backend-0.0.1-SNAPSHOT.jar started by error in C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend)
2026-02-12 10:30:32.131 [main] DEBUG c.nilsson.backend.BackendApplication - Running with Spring Boot v3.3.0, Spring v6.1.8
2026-02-12 10:30:32.132 [main] INFO  c.nilsson.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-12 10:30:33.237 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-12 10:30:33.246 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
